S. No.,State,City,Amount released during FY 2019-20,Amount released during FY 2020-21,Amount released during FY 2021-22,Total fund released,Utilisation as on June 2022
1,Andhra Pradesh,Vijaywada,6,-,-,6,22.91
2,Andhra Pradesh,Guntur,0.12,0.76,1.96,2.84,22.91
3,Andhra Pradesh,Kurnool,0.06,0.76,1.36,2.18,22.91
4,Andhra Pradesh,Nellore,0.06,0.76,1.92,2.74,22.91
5,Andhra Pradesh,Visakhapatnam,0.12,-,-,0.12,22.91
6,Andhra Pradesh,Srikakulam,-,2,0.49,2.49,22.91
7,Andhra Pradesh,Chitoor,-,2,0.46,2.46,22.91
8,Andhra Pradesh,Ongole,-,2,0.64,2.64,22.91
9,Andhra Pradesh,vizianagaram,-,2,0.83,2.83,22.91
10,Andhra Pradesh,Eluru,-,2,0.82,2.82,22.91
11,Andhra Pradesh,Rajahmundry,-,2,1.13,3.13,22.91
12,Andhra Pradesh,Anantapur,-,2,1.04,3.04,22.91
13,Andhra Pradesh,Kadapa,-,1,0.83,1.83,22.91
14,Assam,Guwahati,0.12,5,-,5.12,1.45
15,Assam,Nagaon,0.06,2,-,2.06,1.45
16,Assam,Nalbari,0.06,1,-,1.06,1.45
17,Assam,Sibsagar,0.06,2,-,2.06,1.45
18,Assam,Silchar,0.06,2,-,2.06,1.45
19,Bihar,Patna,10,-,-,10,15.2
20,Bihar,Gaya,0.1,2,1.9,4,15.2
21,Bihar,Muzaffarpur,0.1,5,2.5,7.6,15.2
22,Chandigarh,Chandigarh,8.28,5,4.61,17.89,10.83
23,Chhattisgarh,Raipur,6,-,-,6,2.76
24,Chhattisgarh,Durg Bhilainagar,6,-,-,6,2.76
25,Chhattisgarh,Korba,0.06,1,-,1.06,2.76
26,Delhi,Delhi,-,-,11.25,11.25,-
27,Gujarat,Surat,6,-,-,6,12
28,Gujarat,Ahmedabad,6,-,-,6,12
29,Himachal Pradesh,Baddi (Baddi&nalagarh considered twin during FY 20-21),0.06,3,0.2,3.26,6.35
30,Himachal Pradesh,Nalagarh,0.06,-,0.06,0.12,6.35
31,Himachal Pradesh,Paonta Sahib,0.06,1,0.1,1.16,6.35
32,Himachal Pradesh,Sunder Nagar,0.06,1,0.08,1.14,6.35
33,Himachal Pradesh,Kala Amb,-,3,0,3,6.35
34,Himachal Pradesh,Damtal,-,1,0.01,1.01,6.35
